feature,mean_abs_shap,mean_pos_shap,mean_neg_shap
SP500,98.11384757725794,3.810472825602366,-94.30337475165558
price_lag_0,47.609839955977925,47.609839955977925,0.0
brent_lag_7,32.29632880172026,0.0,-32.29632880172026
days_since_last_change,30.270941282552208,0.6312199305904793,-29.63972135196173
brent_diff_7,26.379655888297858,7.76376024866438,-18.61589563963348
brent_diff_1,20.004959590516243,6.193533671771233,-13.811425918745007
brent_lag_0,19.403963267912225,0.0,-19.403963267912225
Misc_Rigs,10.525809462369311,2.757722240505446,-7.768087221863869
FEDFUNDS,10.016334995031311,10.016334995031311,0.0
brent_mean_30,7.173482166691173,6.993402872715353,-0.18007929397582126
Gas_Rigs,6.725864410851938,6.725864410851938,0.0
Oil_Rigs,2.7814757117243403,2.7565651723839313,-0.024910539340409415
regime,1.3972349465893945,1.3972349465893945,0.0
